id,好き嫌い,心地よい不快,感じの良い悪い,なめらかしどろもどろ,流暢たどたどしい,話慣れた慣れていない,声大きい小さい,元気のあるない,力強い弱々しい,速い遅い,せわしげな呑気な,スピード感あるゆったりした,礼儀正しい無礼,真面目不真面目,丁寧ぞんざい
2013$MIJFMMN-FMM.WAV$RF,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
2013$MIJFMMN-MIJ.WAV$LM,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0
2013$MHUMIJN-MHU.WAV$RM,1,1,1,1,1,1,0,0,0,0,1,1,0,0,1
2013$MHUMIJN-MIJ.WAV$LM,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0
2013$FKAFKYN-FKA.WAV$RF,1,1,1,1,1,1,0,1,0,0,0,0,1,1,1
2013$FKAFKYN-FKY.WAV$LF,1,1,1,1,1,1,0,1,0,0,0,0,0,1,1
2013$FKYMISN-FKY.WAV$RF,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1
2013$FKYMISN-MIS.WAV$LM,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2013$FMMMHUN-FMM.WAV$RF,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0
2013$FMMMHUN-MHU.WAV$LM,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1
2013$MHUMMTN-MHU.WAV$RM,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1
2013$MHUMMTN-MMT.WAV$LM,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
2013$MIJFHYN-FHY.WAV$RF,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0
2013$MIJFHYN-MIJ.WAV$LM,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0
2013$MIKFKAN-FKA.WAV$RF,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1
2013$MIKFKAN-MIK.WAV$LM,0,0,0,0,1,1,0,1,1,0,1,1,0,0,0
2013$MIKFKYN-FKY.WAV$RF,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0
2013$MIKFKYN-MIK.WAV$LM,0,0,1,0,1,1,0,1,0,0,1,1,0,0,0
2013$MIKMWTN-MIK.WAV$RM,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0
2013$MIKMWTN-MWT.WAV$LM,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2013$MISFKAN-FKA.WAV$RF,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1
2013$MISFKAN-MIS.WAV$LM,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1
2014$MAMMKTN.WAV$RM,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2014$MAMMKTN.WAV$LM,0,0,0,0,1,1,0,1,1,1,1,1,0,0,0
2014$MAMMSTN.WAV$RM,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2014$MAMMSTN.WAV$LM,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0
2014$MSHMAMN.WAV$RM,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2014$MSHMAMN.WAV$LM,0,0,1,0,1,1,1,1,1,1,1,1,0,0,0
2014$MSHMKTN.WAV$RM,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
2014$MSHMKTN.WAV$LM,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
2014$MSHMSTN.WAV$RM,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
2014$MSHMSTN.WAV$LM,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2014$MSHMYSN.WAV$RM,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
2014$MSHMYSN.WAV$LM,0,0,1,0,1,1,1,1,1,1,1,1,0,1,0
2014$MSTFINN.WAV$RM,0,0,1,0,0,1,0,1,0,1,1,1,0,0,0
2014$MSTFINN.WAV$LF,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2014$MSTMKTN.WAV$RM,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2014$MSTMKTN.WAV$LM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014$MYJFINN.WAV$RM,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2014$MYJFINN.WAV$LF,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0
2014$MYJMSTN.WAV$RM,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2014$MYJMSTN.WAV$LM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014$MYSMAMN.WAV$RM,0,0,1,0,1,1,1,1,1,1,1,1,0,1,0
2014$MYSMAMN.WAV$LM,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
2014$MYSMKTN.WAV$RM,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0
2014$MYSMKTN.WAV$LM,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
2014$MYSMSTN.WAV$RM,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0
2014$MYSMSTN.WAV$LM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015$WAV_0768_002.WAV$RF,0,0,1,1,1,1,0,1,0,0,0,0,1,1,1
2015$WAV_0768_002.WAV$LM,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1
2015$WAV_0769_002.WAV$RF,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1
2015$WAV_0769_002.WAV$LF,0,0,1,0,1,1,0,1,1,1,0,1,0,0,0
2015$WAV_0770_002.WAV$RF,0,0,1,0,1,1,1,1,1,1,1,1,0,0,0
2015$WAV_0770_002.WAV$LF,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0
2015$WAV_0771_002.WAV$RF,0,0,1,0,1,1,1,1,1,1,1,1,0,0,0
2015$WAV_0771_002.WAV$LM,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1
2015$WAV_0772_002.WAV$RF,0,0,1,0,1,1,1,1,1,1,1,1,0,0,0
2015$WAV_0772_002.WAV$LF,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0
2015$WAV_0773_002.WAV$RF,0,0,1,0,1,1,1,1,1,1,1,1,0,0,0
2015$WAV_0773_002.WAV$LF,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1
2015$WAV_0774_002.WAV$RF,0,0,1,0,1,1,1,1,1,1,1,1,0,0,0
2015$WAV_0774_002.WAV$LM,1,0,1,0,1,1,0,0,0,0,0,0,1,1,1
2015$WAV_0775_002.WAV$RF,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0
2015$WAV_0775_002.WAV$LF,0,0,1,0,1,1,1,1,1,1,1,1,0,0,0
2015$WAV_0776_002.WAV$RF,0,0,1,0,1,1,1,1,1,1,1,1,0,0,0
2015$WAV_0776_002.WAV$LF,0,0,1,0,1,1,1,0,0,0,0,0,1,1,1
2015$WAV_0777_002.WAV$RF,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0
2015$WAV_0777_002.WAV$LM,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1
2015$WAV_0778_002.WAV$RF,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0
2015$WAV_0778_002.WAV$LM,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2015$WAV_0779_002.WAV$RM,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
2015$WAV_0779_002.WAV$LF,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2015$WAV_0781_002.WAV$RM,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2015$WAV_0781_002.WAV$LM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015$WAV_0782_002.WAV$RF,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0
2015$WAV_0782_002.WAV$LF,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1
2015$WAV_0783_002.WAV$RM,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2015$WAV_0783_002.WAV$LF,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
2015$WAV_0784_002.WAV$RF,0,0,1,0,0,1,1,1,1,0,1,0,0,0,0
2015$WAV_0784_002.WAV$LM,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2015$WAV_0785_002.WAV$RM,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2015$WAV_0785_002.WAV$LF,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1
2015$WAV_0786_002.WAV$RF,0,0,1,0,0,1,1,1,1,0,1,1,0,0,0
2015$WAV_0786_002.WAV$LF,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
2015$WAV_0787_002.WAV$RF,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1
2015$WAV_0787_002.WAV$LM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016$FKAMAMN-FKA.WAV$RF,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1
2016$FKAMAMN-MAM.WAV$LM,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1
2016$FKAMKJN-FKA.WAV$RF,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1
2016$FKAMKJN-MKJ.WAV$LM,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0
2016$FKCFKAN-FKA.WAV$RF,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2016$FKCFKAN-FKC.WAV$LF,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
2016$FKCMAMN-FKC.WAV$RF,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
2016$FKCMAMN-MAM.WAV$LM,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1
2016$FKCMKJN-FKC.WAV$RF,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0
2016$FKCMKJN-MKJ.WAV$LM,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1
2016$FKSMHKN-FKS.WAV$RF,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0
2016$FKSMHKN-MHK.WAV$LM,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0
2016$FORFKSN-FKS.WAV$RF,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0
2016$FORFKSN-FOR.WAV$LF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016$FORMHKN-FOR.WAV$RF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016$FORMHKN-MHK.WAV$LM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016$FSNFKSN-FKS.WAV$RF,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0
2016$FSNFKSN-FSN.WAV$LF,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1
2016$FSNFORN-FOR.WAV$RF,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2016$FSNFORN-FSN.WAV$LF,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0
2016$FSNMHKN-FSN.WAV$RF,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2016$FSNMHKN-MHK.WAV$LM,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2016$FSNMNDN-FSN.WAV$RF,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
2016$FSNMNDN-MND.WAV$LM,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
2016$MAMMKJN-MAM.WAV$RM,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1
2016$MAMMKJN-MKJ.WAV$LM,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0
2016$MNDFKSN-FKS.WAV$RF,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2016$MNDFKSN-MND.WAV$LM,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
2016$MNDFORN-FOR.WAV$RF,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2016$MNDFORN-MND.WAV$LM,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2016$MNDMHKN-MHK.WAV$RM,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0
2016$MNDMHKN-MND.WAV$LM,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
